01 Trial Management,01.01 Trial Oversight,01.01.01 Trial Master File Plan,X,0,0
01 Trial Management,01.01 Trial Oversight,01.01.02 Trial Management Plan,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.03 Quality Plan ,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.04 List of SOPs Current During Trial,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.05 Operational Procedure Manual,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.06 Recruitment Plan,X,X,X
01 Trial Management,01.01 Trial Oversight,01.01.07 Communication Plan,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.08 Monitoring Plan,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.09 Medical Monitoring Plan,X,0,0
01 Trial Management,01.01 Trial Oversight,01.01.10 Publication Policy,X,0,0
01 Trial Management,01.01 Trial Oversight,01.01.11 Debarment Statement,X,0,X
01 Trial Management,01.01 Trial Oversight,01.01.12 Trial Status Report,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.13 Investigator Newsletter,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.14 Audit Certificate,X,X,X
01 Trial Management,01.01 Trial Oversight,01.01.15 Filenote Master List,X,X,X
01 Trial Management,01.01 Trial Oversight,01.01.16 Risk Management Plan,X,0,0
01 Trial Management,01.01 Trial Oversight,01.01.17 Vendor Management Plan,X,0,0
01 Trial Management,01.01 Trial Oversight,01.01.18 Roles and Responsibility Matrix,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.19 Transfer of Regulatory Obligations ,X,X,0
01 Trial Management,01.01 Trial Oversight,01.01.20 Operational Oversight,X,0,0
01 Trial Management,01.02 Trial Team,01.02.01 Trial Team Details,X,X,0
01 Trial Management,01.02 Trial Team,01.02.02 Trial Team Curriculum Vitae,X,X,0
01 Trial Management,01.03 Trial Committee,01.03.01 Committee Process,X,0,0
01 Trial Management,01.03 Trial Committee,01.03.02 Committee Member List,X,0,0
01 Trial Management,01.03 Trial Committee,01.03.03 Committee Output,X,0,0
01 Trial Management,01.03 Trial Committee,01.03.04 Committee Member Curriculum Vitae,X,0,0
01 Trial Management,01.03 Trial Committee,01.03.05 Committee Member Financial Disclosure Form,X,0,0
01 Trial Management,01.03 Trial Committee,01.03.06 Committee Member Contract,X,0,0
01 Trial Management,01.03 Trial Committee,01.03.07 Committee Member Confidentiality Disclosure Agreement,X,0,0
01 Trial Management,01.04 Meetings,01.04.01 Kick-off Meeting Material,X,X,0
01 Trial Management,01.04 Meetings,01.04.02 Trial Team Training Material,X,X,0
01 Trial Management,01.04 Meetings,01.04.03 Investigators Meeting Material,X,X,0
01 Trial Management,01.04 Meetings,01.04.04 Trial Team Evidence of Training,X,X,0
01 Trial Management,01.05 General,01.05.01 Relevant Communications,X,X,0
01 Trial Management,01.05 General,01.05.02 Tracking Information,X,X,X
01 Trial Management,01.05 General,01.05.03 Other Meeting Material,X,X,0
01 Trial Management,01.05 General,01.05.04 Filenote,X,X,X
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.01 Investigator's Brochure,X,X,0
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.02 Protocol ,X,X,X
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.03 Protocol Synopsis,X,X,0
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.04 Protocol Amendment,X,X,X
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.05 Financial Disclosure Summary,X,X,X
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.06 Insurance,X,X,0
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.07 Sample Case Report Form ,X,0,0
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.10 Report of Prior Investigations,X,X,0
02 Central Trial Documents,02.01 Product and Trial Documentation,02.01.11 Marketed Product Material,X,X,0
02 Central Trial Documents,02.02 Subject Documentation,02.02.01 Subject Diary,X,X,0
02 Central Trial Documents,02.02 Subject Documentation,02.02.02 Subject Questionnaire,X,X,0
02 Central Trial Documents,02.02 Subject Documentation,02.02.03 Informed Consent Form,X,X,X
02 Central Trial Documents,02.02 Subject Documentation,02.02.04 Subject Information Sheet,X,X,X
02 Central Trial Documents,02.02 Subject Documentation,02.02.05 Subject Participation Card,X,X,0
02 Central Trial Documents,02.02 Subject Documentation,02.02.06 Advertisements for Subject Recruitment,X,X,X
02 Central Trial Documents,02.02 Subject Documentation,02.02.07 Other Information Given to Subjects,X,X,X
02 Central Trial Documents,02.03 Reports,02.03.01 Clinical Study Report,X,0,0
02 Central Trial Documents,02.03 Reports,02.03.02 Bioanalytical Report ,X,0,0
02 Central Trial Documents,02.04 General,02.04.01 Relevant Communications,X,X,X
02 Central Trial Documents,02.04 General,02.04.02 Tracking Information,X,X,0
02 Central Trial Documents,02.04 General,02.04.03 Meeting Material,X,X,0
02 Central Trial Documents,02.04 General,02.04.04 Filenote,X,X,X
03 Regulatory,03.01 Trial Approval,03.01.01 Regulatory Submission,0,X,0
03 Regulatory,03.01 Trial Approval,03.01.02 Regulatory Approval Notification,0,X,0
03 Regulatory,03.01 Trial Approval,03.01.03 Notification of Regulatory Identification Number,0,X,0
03 Regulatory,03.01 Trial Approval,03.01.04 Public Registration ,X,X,0
03 Regulatory,03.02 Investigational Medicinal Product,03.02.01 Import or Export License Application,0,X,0
03 Regulatory,03.02 Investigational Medicinal Product,03.02.02 Import or Export License ,0,X,0
03 Regulatory,03.03 Trial Status Reporting,03.03.01 Notification to Regulatory Authority of Safety or Trial Information,0,X,0
03 Regulatory,03.03 Trial Status Reporting,03.03.02 Regulatory Progress Report,0,X,0
03 Regulatory,03.03 Trial Status Reporting,03.03.03 Regulatory Notification of Trial Termination,0,X,0
03 Regulatory,03.04 General,03.04.01 Relevant Communications,X,X,0
03 Regulatory,03.04 General,03.04.02 Tracking Information,X,X,X
03 Regulatory,03.04 General,03.04.03 Meeting Material,X,X,0
03 Regulatory,03.04 General,03.04.04 Filenote,X,X,0
04 IRB or IEC and other Approvals,04.01 IRB or IEC Trial Approval,04.01.01 IRB or IEC Submission,0,X,X
04 IRB or IEC and other Approvals,04.01 IRB or IEC Trial Approval,04.01.02 IRB or IEC Approval,0,X,X
04 IRB or IEC and other Approvals,04.01 IRB or IEC Trial Approval,04.01.03 IRB or IEC Composition,0,X,X
04 IRB or IEC and other Approvals,04.01 IRB or IEC Trial Approval,04.01.04 IRB or IEC Documentation of Non-Voting Status,0,X,X
04 IRB or IEC and other Approvals,04.01 IRB or IEC Trial Approval,04.01.05 IRB or IEC Compliance Documentation,0,X,X
04 IRB or IEC and other Approvals,04.02 Other Committees,04.02.01 Other Submissions,0,X,X
04 IRB or IEC and other Approvals,04.02 Other Committees,04.02.02 Other Approvals,0,X,X
04 IRB or IEC and other Approvals,04.03 Trial Status Reporting,04.03.01 Notification to IRB or IEC of Safety Information,0,X,X
04 IRB or IEC and other Approvals,04.03 Trial Status Reporting,04.03.02 IRB or IEC Progress Report,0,X,X
04 IRB or IEC and other Approvals,04.03 Trial Status Reporting,04.03.03 IRB or IEC Notification of Trial Termination,0,X,X
04 IRB or IEC and other Approvals,04.04 General,04.04.01 Relevant Communications,X,X,X
04 IRB or IEC and other Approvals,04.04 General,04.04.02 Tracking Information,X,X,X
04 IRB or IEC and other Approvals,04.04 General,04.04.03 Meeting Material,X,X,X
04 IRB or IEC and other Approvals,04.04 General,04.04.04 Filenote,X,X,X
05 Site Management,05.01 Site Selection,05.01.01 Site Contact Details,0,0,X
05 Site Management,05.01 Site Selection,05.01.02 Confidentiality Agreement,0,0,X
05 Site Management,05.01 Site Selection,05.01.03 Feasibility Documentation,X,X,X
05 Site Management,05.01 Site Selection,05.01.04 Pre Trial Monitoring Report,0,0,X
05 Site Management,05.01 Site Selection,05.01.05 Sites Evaluated but not Selected,X,X,0
05 Site Management,05.02 Site Set-up,05.02.01 Acceptance of Investigator Brochure,0,0,X
05 Site Management,05.02 Site Set-up,05.02.02 Protocol Signature Page,0,0,X
05 Site Management,05.02 Site Set-up,05.02.03 Protocol Amendment Signature Page,0,0,X
05 Site Management,05.02 Site Set-up,05.02.04 Principal Investigator Curriculum Vitae,0,0,X
05 Site Management,05.02 Site Set-up,05.02.05 Sub-Investigator Curriculum Vitae,0,0,X
05 Site Management,05.02 Site Set-up,05.02.06 Other Curriculum Vitae,0,0,X
05 Site Management,05.02 Site Set-up,05.02.07 Site Staff Qualification Supporting Information,0,0,X
05 Site Management,05.02 Site Set-up,05.02.08 Form FDA 1572,0,0,X
05 Site Management,05.02 Site Set-up,05.02.09 Investigator Regulatory Agreement,0,0,X
05 Site Management,05.02 Site Set-up,05.02.10 Financial Disclosure Form,0,0,X
05 Site Management,05.02 Site Set-up,05.02.11 Data Privacy Agreement,0,0,X
05 Site Management,05.02 Site Set-up,05.02.12 Clinical Trial Agreement,0,0,X
